UB,LB,Time
7.11E+06,1.53E+06,929.0046569
7.04E+06,1.59E+06,443.0928706
7.29E+06,2.81E+06,656.2691921
6.68E+06,3.14E+06,650.7419539
6.80E+06,4.53E+06,415.5321117
6.60E+06,5.33E+06,687.0819488
6.66E+06,5.76E+06,621.0692312
6.42E+06,5.87E+06,617.113873
6.44E+06,5.88E+06,867.7682995
6.48E+06,5.89E+06,807.7344415
6.41E+06,5.98E+06,691.568035
6.44E+06,5.99E+06,776.3175197
6.45E+06,6.01E+06,760.5690937
6.42E+06,6.02E+06,813.2705027
6.46E+06,6.03E+06,1009.900106
6.37E+06,6.03E+06,1125.176306
6.37E+06,6.04E+06,1107.638627
6.34E+06,6.04E+06,815.9269216
6.41E+06,6.06E+06,956.7174214
6.38E+06,6.06E+06,1026.18672
6.46E+06,6.06E+06,817.4422571
6.40E+06,6.07E+06,966.914455
6.37E+06,6.07E+06,811.2723902
6.32E+06,6.08E+06,1044.897247
6.35E+06,6.08E+06,827.6168128
6.40E+06,6.08E+06,899.7992605
6.36E+06,6.09E+06,901.9597316
6.50E+06,6.10E+06,1115.766625
6.47E+06,6.10E+06,868.0670785
6.42E+06,6.10E+06,849.3727064
6.43E+06,6.10E+06,837.821086
6.31E+06,6.11E+06,1058.052231
6.43E+06,6.11E+06,1000.885229
6.39E+06,6.11E+06,1104.889801
6.49E+06,6.11E+06,920.9533719
6.39E+06,6.12E+06,1213.51659
6.50E+06,6.12E+06,1005.467791
6.42E+06,6.12E+06,1372.264639
6.35E+06,6.12E+06,813.9636692
6.38E+06,6.13E+06,1431.399589
6.35E+06,6.13E+06,1434.062524
6.42E+06,6.13E+06,1533.890218
6.38E+06,6.13E+06,1378.11757
6.36E+06,6.13E+06,1513.388083
6.38E+06,6.13E+06,864.22796
6.45E+06,6.14E+06,1717.115335
6.33E+06,6.14E+06,1573.936252
6.35E+06,6.14E+06,1333.370169
6.50E+06,6.14E+06,2086.430287
6.32E+06,6.14E+06,882.9935068
6.39E+06,6.14E+06,1417.879487
6.41E+06,6.14E+06,1740.220464
6.39E+06,6.15E+06,1394.475376
6.31E+06,6.15E+06,1054.71614
6.33E+06,6.15E+06,1278.506679
6.44E+06,6.15E+06,1414.491157
6.41E+06,6.15E+06,1603.176896
6.41E+06,6.15E+06,1701.297848
6.32E+06,6.15E+06,1305.464689
6.30E+06,6.15E+06,1727.516231
6.49E+06,6.16E+06,1600.107778
6.46E+06,6.16E+06,963.9973841
6.31E+06,6.16E+06,1445.760976
6.48E+06,6.16E+06,1500.48585
6.40E+06,6.16E+06,1056.73672
6.37E+06,6.16E+06,1604.024199
6.35E+06,6.16E+06,1692.443614
6.35E+06,6.16E+06,1023.824917
6.39E+06,6.16E+06,1543.311456
6.31E+06,6.16E+06,1039.881662
6.32E+06,6.16E+06,1062.179228
6.39E+06,6.16E+06,1640.213805
6.34E+06,6.16E+06,959.276274
6.37E+06,6.16E+06,1343.386165
6.39E+06,6.16E+06,1534.910991
,,
,3.60E-02,23.50189452
